ess8_id,cntry,ess8_reg,nuts1,nuts2,nuts3,lrscale,rlgdgr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
BE000001594,BE,BE22,BE2,BE22,,3,8,2,1,3,1,3,3,2,3,4,1,1,2,2,3,3,4,2,1,2,3,1,
BE000001596,BE,BE25,BE2,BE25,,3,0,3,5,2,4,4,3,5,2,3,2,2,3,4,2,2,3,3,2,1,4,3,
BE000001598,BE,BE10,BE1,BE10,,5,3,1,4,1,1,4,1,4,1,1,1,1,2,2,4,1,3,2,1,1,2,1,
BE000001600,BE,BE10,BE1,BE10,,10,8,2,3,2,2,2,1,2,1,1,3,3,1,3,2,2,1,1,1,1,1,3,
BE000001601,BE,BE22,BE2,BE22,,7,1,2,4,3,4,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,4,3,
BE000001602,BE,BE10,BE1,BE10,,1,10,2,2,2,5,2,2,2,2,2,2,2,2,2,1,3,2,3,2,2,5,2,
BE000001604,BE,BE24,BE2,BE24,,4,7,1,3,2,3,3,1,3,2,5,2,2,2,3,4,3,3,3,2,3,4,3,
BE000001606,BE,BE24,BE2,BE24,,3,7,4,4,1,4,3,3,3,2,2,4,3,2,4,4,5,2,4,2,2,4,4,
BE000001607,BE,BE24,BE2,BE24,,5,6,4,6,2,4,5,4,2,3,2,4,2,2,5,3,5,3,3,2,2,2,3,
BE000001609,BE,BE24,BE2,BE24,,3,0,3,6,1,3,3,2,5,1,2,2,2,1,3,4,2,3,4,1,1,5,3,
BE000001610,BE,BE33,BE3,BE33,,5,4,4,3,2,4,3,3,2,3,5,2,1,2,3,2,4,3,3,2,3,3,4,
BE000001611,BE,BE33,BE3,BE33,,10,0,2,6,3,2,6,2,2,2,2,3,2,2,2,1,2,4,3,1,1,1,1,
BE000001612,BE,BE24,BE2,BE24,,10,6,3,3,2,3,2,4,3,4,2,3,2,3,4,2,4,3,3,2,2,2,2,
BE000001613,BE,BE33,BE3,BE33,,5,0,5,6,3,6,2,3,2,3,2,2,2,2,4,1,5,2,4,2,4,6,5,
BE000001614,BE,BE24,BE2,BE24,,8,2,2,4,4,1,2,4,3,4,3,5,1,3,1,3,5,3,2,2,4,3,5,
BE000001615,BE,BE24,BE2,BE24,,8,0,2,2,2,3,2,1,2,4,2,2,2,1,2,2,2,3,4,1,4,4,1,
BE000001616,BE,BE24,BE2,BE24,,4,5,1,4,2,1,4,4,4,5,1,2,2,1,1,3,1,2,3,2,2,4,2,
BE000001621,BE,BE21,BE2,BE21,,2,0,3,3,1,5,5,3,3,2,5,3,2,2,3,4,5,5,3,4,1,5,2,
BE000001622,BE,BE21,BE2,BE21,,0,0,1,4,1,3,2,3,3,1,3,3,1,2,3,3,4,2,3,2,2,3,3,
BE000001624,BE,BE21,BE2,BE21,,5,5,4,2,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,2,2,2,3,
BE000001625,BE,BE23,BE2,BE23,,5,5,5,5,2,2,2,5,2,2,2,5,2,2,5,2,5,2,3,2,1,2,3,
BE000001626,BE,BE32,BE3,BE32,,5,7,1,4,1,4,1,2,2,2,1,2,2,2,3,1,3,3,4,2,2,2,2,
BE000001631,BE,BE33,BE3,BE33,,7,9,5,5,1,5,1,5,1,1,4,1,1,1,1,1,5,5,2,2,2,2,2,
BE000001633,BE,BE33,BE3,BE33,,5,8,3,3,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,
BE000001634,BE,BE31,BE3,BE31,,5,2,3,4,2,3,2,3,3,2,3,3,4,2,2,3,4,1,6,3,1,5,3,
BE000001635,BE,BE33,BE3,BE33,,7,8,1,5,1,3,1,6,6,2,3,5,5,1,5,1,5,3,5,1,3,1,4,
BE000001639,BE,BE21,BE2,BE21,,3,10,5,4,3,3,2,3,3,4,3,3,4,3,4,3,4,3,3,2,3,1,3,
BE000001640,BE,BE32,BE3,BE32,,5,0,3,6,6,3,2,1,4,1,1,6,1,1,3,2,3,2,2,2,2,2,2,
BE000001641,BE,BE31,BE3,BE31,,5,0,3,5,2,4,2,2,3,2,2,2,2,2,3,2,3,3,3,1,2,6,2,
BE000001642,BE,BE33,BE3,BE33,,7,7,1,3,1,3,1,2,3,1,5,2,1,1,2,1,3,5,3,1,1,1,2,
BE000001643,BE,BE21,BE2,BE21,,5,7,3,6,1,4,3,2,2,1,2,4,1,2,4,2,2,3,4,1,1,2,2,
BE000001644,BE,BE33,BE3,BE33,,0,3,1,2,1,2,1,1,3,3,2,1,1,2,1,3,1,2,2,1,1,3,1,
BE000001646,BE,BE21,BE2,BE21,,7,6,4,4,3,5,3,3,3,3,3,4,4,3,4,3,4,3,4,3,3,3,3,
BE000001650,BE,BE34,BE3,BE34,,0,1,3,6,3,3,2,4,5,3,3,3,3,2,3,3,5,3,5,2,3,3,3,
BE000001651,BE,BE31,BE3,BE31,,4,6,4,5,1,5,2,5,5,3,2,2,2,5,5,2,6,2,5,2,3,5,3,
BE000001652,BE,BE34,BE3,BE34,,5,0,1,5,5,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,
BE000001655,BE,BE22,BE2,BE22,,6,4,2,4,3,3,2,2,4,3,4,3,2,2,4,3,3,3,3,3,3,4,3,
BE000001657,BE,BE34,BE3,BE34,,6,0,2,5,2,5,1,2,6,3,4,6,1,1,3,1,1,3,4,1,1,3,1,
BE000001659,BE,BE25,BE2,BE25,,7,1,3,4,2,4,3,3,2,2,2,2,1,2,4,3,3,2,3,2,2,3,2,
BE000001661,BE,BE35,BE3,BE35,,5,7,5,5,2,6,3,5,2,2,3,1,1,1,4,1,5,3,1,1,3,3,1,
BE000001664,BE,BE25,BE2,BE25,,5,3,2,5,2,4,2,4,2,2,2,2,1,3,2,2,4,2,4,3,2,4,5,
BE000001666,BE,BE34,BE3,BE34,,5,7,3,4,3,4,2,3,3,3,2,1,2,2,3,2,4,2,4,2,3,4,2,
BE000001667,BE,BE34,BE3,BE34,,3,6,1,3,1,2,1,1,5,3,5,1,1,1,2,2,3,2,1,1,1,1,1,
BE000001670,BE,BE32,BE3,BE32,,5,5,2,4,2,5,1,2,4,2,2,3,1,1,2,2,3,3,3,2,3,3,2,
BE000001671,BE,BE32,BE3,BE32,,5,8,5,4,2,3,2,5,4,2,2,3,5,1,6,2,6,1,2,2,2,1,3,
BE000001672,BE,BE34,BE3,BE34,,6,6,1,4,2,2,3,1,3,3,2,1,3,1,1,2,2,2,3,1,2,2,1,
BE000001676,BE,BE34,BE3,BE34,,88,3,2,5,4,2,2,3,5,2,5,2,1,2,2,2,4,5,5,2,2,2,1,
BE000001680,BE,BE24,BE2,BE24,,6,2,1,3,1,4,2,1,2,1,2,2,1,1,2,1,3,1,3,1,3,1,2,
BE000001683,BE,BE21,BE2,BE21,,5,0,2,5,3,1,3,4,2,1,3,2,1,1,3,3,3,1,3,1,2,2,2,
BE000001684,BE,BE35,BE3,BE35,,7,5,2,5,2,4,3,2,2,2,2,1,2,2,3,2,4,4,5,1,3,3,1,
BE000001685,BE,BE21,BE2,BE21,,3,0,3,3,3,4,3,3,3,3,3,2,1,3,4,2,4,3,3,1,1,2,1,
BE000001687,BE,BE24,BE2,BE24,,7,6,2,5,2,5,2,3,5,2,2,2,2,2,5,2,4,5,5,2,2,3,2,
BE000001688,BE,BE35,BE3,BE35,,5,10,4,5,1,5,2,3,3,2,3,1,3,2,3,2,5,2,5,2,2,3,2,
BE000001689,BE,BE24,BE2,BE24,,1,0,2,4,1,3,5,2,4,2,2,2,2,2,2,2,4,4,2,2,2,3,2,
BE000001690,BE,BE23,BE2,BE23,,6,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,
BE000001692,BE,BE21,BE2,BE21,,3,7,2,6,1,2,1,3,3,2,2,3,2,1,3,1,3,1,4,1,1,1,1,
BE000001693,BE,BE24,BE2,BE24,,7,9,2,4,3,2,3,2,1,3,2,1,1,1,3,3,3,2,3,1,1,1,1,
BE000001694,BE,BE24,BE2,BE24,,4,5,2,5,2,6,1,2,4,1,2,4,3,1,2,1,4,1,5,2,2,2,2,
BE000001696,BE,BE24,BE2,BE24,,5,5,3,3,2,3,3,3,3,2,3,3,2,2,3,2,3,3,3,2,2,2,2,
BE000001697,BE,BE22,BE2,BE22,,0,5,2,6,2,2,2,5,3,3,1,2,3,1,3,8,5,2,6,1,3,1,1,
BE000001698,BE,BE23,BE2,BE23,,7,5,3,4,3,2,3,4,3,2,2,3,4,3,2,3,3,3,4,2,3,3,2,
BE000001699,BE,BE31,BE3,BE31,,4,10,1,4,1,1,1,3,1,1,1,3,1,1,3,1,4,3,6,2,2,3,3,
BE000001702,BE,BE22,BE2,BE22,,7,3,3,5,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,2,
BE000001703,BE,BE22,BE2,BE22,,5,4,4,3,3,3,4,3,4,2,3,3,3,3,3,4,4,3,4,2,3,3,3,
BE000001704,BE,BE22,BE2,BE22,,8,1,4,5,3,6,2,5,4,2,2,3,2,1,5,3,6,2,6,2,4,2,2,
BE000001708,BE,BE33,BE3,BE33,,4,5,3,4,4,3,2,5,2,2,2,3,1,2,3,1,5,3,2,2,3,5,3,
BE000001710,BE,BE33,BE3,BE33,,5,5,1,5,3,5,3,5,2,3,1,3,3,5,6,1,5,5,5,2,2,2,4,
BE000001712,BE,BE31,BE3,BE31,,2,5,1,4,2,4,2,4,4,2,3,2,2,2,4,3,6,4,5,2,3,2,3,
BE000001717,BE,BE34,BE3,BE34,,3,8,1,4,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,
BE000001718,BE,BE10,BE1,BE10,,6,2,2,4,2,3,3,3,3,3,3,2,2,2,3,5,4,5,5,2,1,5,3,
BE000001719,BE,BE34,BE3,BE34,,3,2,3,4,1,1,1,1,3,3,1,1,1,4,3,3,3,1,1,1,3,1,1,
BE000001720,BE,BE10,BE1,BE10,,5,9,1,6,1,3,2,2,7,2,3,2,2,1,3,3,1,2,4,2,2,3,2,
BE000001721,BE,BE31,BE3,BE31,,4,9,1,4,1,3,1,4,2,3,2,2,2,2,4,1,5,1,4,3,1,4,3,
BE000001722,BE,BE22,BE2,BE22,,5,0,5,5,2,5,2,5,5,5,2,5,5,2,5,5,5,2,5,2,2,2,2,
BE000001723,BE,BE34,BE3,BE34,,5,7,3,5,2,6,3,3,5,3,2,2,1,2,4,2,5,3,3,2,1,3,3,
BE000001727,BE,BE33,BE3,BE33,,5,5,3,5,3,5,3,2,5,3,2,3,2,2,4,4,4,3,5,3,3,3,3,
BE000001728,BE,BE34,BE3,BE34,,8,0,3,2,3,3,3,2,4,2,2,3,2,2,2,2,3,3,2,2,2,4,3,
BE000001729,BE,BE25,BE2,BE25,,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
BE000001734,BE,BE22,BE2,BE22,,7,4,6,6,4,2,2,5,2,2,2,2,5,2,3,2,6,2,5,2,2,5,2,
BE000001736,BE,BE25,BE2,BE25,,4,0,4,5,2,2,4,4,2,2,5,2,2,2,3,4,3,4,2,2,2,3,2,
BE000001738,BE,BE23,BE2,BE23,,3,6,4,6,2,4,2,3,2,3,2,3,2,2,4,3,5,2,5,2,2,2,3,
BE000001740,BE,BE22,BE2,BE22,,0,1,1,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,4,1,
BE000001745,BE,BE23,BE2,BE23,,5,0,1,6,1,3,4,5,5,1,2,3,2,2,5,4,5,4,5,1,2,5,3,
BE000001749,BE,BE23,BE2,BE23,,2,6,2,5,2,2,4,2,3,2,3,3,2,2,4,4,3,3,3,2,2,3,3,
